Period	LjungBox_pval	SeasonalStrength	TrendStrength
5	0.000000	0.000000	0.996488
6	0.000000	0.000000	0.996170
7	0.000000	0.000000	0.995288
8	0.000000	0.000000	0.993552
9	0.000000	0.000000	0.992984
10	0.000000	0.000000	0.993002
11	0.000000	0.000000	0.993453
12	0.000000	0.000000	0.992235
13	0.000000	0.000000	0.991768
14	0.000000	0.000000	0.991033
15	0.000000	0.000000	0.990653
16	0.000000	0.000000	0.988409
17	0.000000	0.000000	0.989226
18	0.000000	0.000000	0.988847
19	0.000000	0.000000	0.987574
20	0.000000	0.000000	0.985899
21	0.000000	0.000000	0.987340
22	0.000000	0.000000	0.986692
23	0.000000	0.000000	0.986552
24	0.000000	0.000000	0.987413
25	0.000000	0.000000	0.987937
26	0.000000	0.012872	0.987035
27	0.000000	0.035996	0.987500
28	0.000000	0.000000	0.985360
29	0.000000	0.000000	0.982291
30	0.000000	0.000000	0.982855
31	0.000000	0.000000	0.983323
32	0.000000	0.000000	0.975085
33	0.000000	0.000000	0.978189
34	0.000000	0.001084	0.984574
35	0.000000	0.000000	0.979843
36	0.000000	0.000000	0.978404
37	0.000000	0.000000	0.978493
38	0.000000	0.000000	0.980224
39	0.000000	0.001875	0.981112
40	0.000000	0.017788	0.981549
41	0.000000	0.011980	0.981387
42	0.000000	0.047678	0.981172
43	0.000000	0.018672	0.979413
44	0.000000	0.048188	0.980291
45	0.000000	0.000000	0.975938
46	0.000000	0.000616	0.978811
47	0.000000	0.000000	0.974792
48	0.000000	0.000000	0.976401
49	0.000000	0.000000	0.975003
50	0.000000	0.012400	0.973862
51	0.000000	0.015770	0.975021
52	0.000000	0.032647	0.974862
53	0.000000	0.019826	0.974720
54	0.000000	0.005320	0.974015
55	0.000000	0.000000	0.973959
56	0.000000	0.043475	0.974602
57	0.000000	0.026742	0.973531
58	0.000000	0.028998	0.973314
59	0.000000	0.000000	0.971082
60	0.000000	0.013361	0.970699
61	0.000000	0.000332	0.970034
62	0.000000	0.000000	0.968550
63	0.000000	0.000000	0.965281
64	0.000000	0.000000	0.965929
65	0.000000	0.000000	0.965237
66	0.000000	0.000000	0.965356
67	0.000000	0.000000	0.966932
68	0.000000	0.000000	0.966822
69	0.000000	0.000000	0.968103
70	0.000000	0.000000	0.966802
71	0.000000	0.000000	0.964175
72	0.000000	0.000000	0.963515
73	0.000000	0.000000	0.965015
74	0.000000	0.000000	0.963645
75	0.000000	0.000000	0.963517
76	0.000000	0.000000	0.958494
77	0.000000	0.000000	0.960636
78	0.000000	0.000000	0.961342
79	0.000000	0.000000	0.962010
80	0.000000	0.000000	0.960776
81	0.000000	0.000000	0.961058
82	0.000000	0.000000	0.963176
83	0.000000	0.000000	0.961960
84	0.000000	0.000000	0.962719
85	0.000000	0.000000	0.962232
86	0.000000	0.000000	0.962729
87	0.000000	0.008348	0.965606
88	0.000000	0.026795	0.966522
89	0.000000	0.058482	0.966869
90	0.000000	0.066788	0.966819
91	0.000000	0.054836	0.965467
92	0.000000	0.042326	0.963683
93	0.000000	0.012809	0.963602
94	0.000000	0.021707	0.963472
95	0.000000	0.052601	0.962365
96	0.000000	0.048563	0.962649
97	0.000000	0.028331	0.963055
98	0.000000	0.026298	0.962803
99	0.000000	0.047982	0.963228
100	0.000000	0.045401	0.962178
101	0.000000	0.033007	0.961334
102	0.000000	0.008785	0.960648
103	0.000000	0.005493	0.961179
104	0.000000	0.012279	0.961803
105	0.000000	0.017760	0.961327
106	0.000000	0.000000	0.959922
107	0.000000	0.000000	0.959689
108	0.000000	0.005658	0.959524
109	0.000000	0.000357	0.958830
110	0.000000	0.000000	0.958104
111	0.000000	0.007255	0.958792
112	0.000000	0.000000	0.959261
113	0.000000	0.000000	0.959246
114	0.000000	0.012524	0.959677
115	0.000000	0.009532	0.959033
116	0.000000	0.003990	0.957475
117	0.000000	0.033164	0.958300
118	0.000000	0.033320	0.957297
119	0.000000	0.011878	0.955650
120	0.000000	0.005564	0.954968
121	0.000000	0.000000	0.954218
122	0.000000	0.000000	0.953085
123	0.000000	0.000000	0.952163
124	0.000000	0.000000	0.951273
125	0.000000	0.000000	0.950998
126	0.000000	0.000000	0.952004
127	0.000000	0.000000	0.952569
128	0.000000	0.000000	0.951633
129	0.000000	0.000000	0.949284
130	0.000000	0.000000	0.947232
131	0.000000	0.000000	0.947811
132	0.000000	0.000000	0.946522
133	0.000000	0.000000	0.945068
134	0.000000	0.000000	0.946027
135	0.000000	0.000000	0.944998
136	0.000000	0.000000	0.945296
137	0.000000	0.000000	0.945372
138	0.000000	0.025676	0.945877
139	0.000000	0.036809	0.946436
140	0.000000	0.049735	0.945749
141	0.000000	0.053741	0.945762
142	0.000000	0.054770	0.945199
143	0.000000	0.049393	0.944669
144	0.000000	0.062899	0.945282
145	0.000000	0.048211	0.943931
146	0.000000	0.031286	0.944736
147	0.000000	0.028115	0.945241
148	0.000000	0.023124	0.944013
149	0.000000	0.010941	0.944057
150	0.000000	0.039202	0.946435
151	0.000000	0.032734	0.946569
152	0.000000	0.024253	0.946088
153	0.000000	0.046223	0.948117
154	0.000000	0.053928	0.949707
155	0.000000	0.044260	0.949328
156	0.000000	0.018421	0.948246
157	0.000000	0.025179	0.948191
158	0.000000	0.048626	0.947975
159	0.000000	0.027970	0.947342
160	0.000000	0.031859	0.947202
161	0.000000	0.031063	0.947058
162	0.000000	0.042624	0.947479
163	0.000000	0.064344	0.947150
164	0.000000	0.056095	0.946422
165	0.000000	0.044386	0.945239
166	0.000000	0.048720	0.945831
167	0.000000	0.001811	0.941649
168	0.000000	0.032028	0.943158
169	0.000000	0.020602	0.941671
170	0.000000	0.025247	0.941759
171	0.000000	0.088594	0.945775
172	0.000000	0.089005	0.946365
173	0.000000	0.082520	0.947180
174	0.000000	0.075763	0.946397
175	0.000000	0.083182	0.945983
176	0.000000	0.095752	0.946603
177	0.000000	0.098866	0.946009
178	0.000000	0.075553	0.942975
179	0.000000	0.057135	0.941589
180	0.000000	0.038869	0.939471
181	0.000000	0.054897	0.939942
182	0.000000	0.035630	0.936928
183	0.000000	0.003958	0.933533
184	0.000000	0.003153	0.932623
185	0.000000	0.000000	0.931808
186	0.000000	0.000000	0.929561
187	0.000000	0.000000	0.928904
188	0.000000	0.000000	0.928368
189	0.000000	0.000000	0.929462
190	0.000000	0.000000	0.930790
191	0.000000	0.000000	0.932068
192	0.000000	0.000000	0.931537
193	0.000000	0.000000	0.934811
194	0.000000	0.000000	0.935454
195	0.000000	0.000599	0.935532
196	0.000000	0.000000	0.933534
197	0.000000	0.000000	0.928199
198	0.000000	0.000000	0.929245
199	0.000000	0.000000	0.926237
200	0.000000	0.000000	0.923832
201	0.000000	0.000000	0.925526
202	0.000000	0.000000	0.927037
203	0.000000	0.000000	0.928552
204	0.000000	0.000000	0.929278
205	0.000000	0.002904	0.929303
206	0.000000	0.000000	0.926538
207	0.000000	0.000000	0.922629
208	0.000000	0.000000	0.919562
209	0.000000	0.000000	0.919012
210	0.000000	0.000000	0.919910
211	0.000000	0.000000	0.916244
212	0.000000	0.000000	0.919284
213	0.000000	0.000000	0.916342
214	0.000000	0.000000	0.917341
215	0.000000	0.000000	0.912669
216	0.000000	0.000000	0.913024
217	0.000000	0.000000	0.911570
218	0.000000	0.000000	0.913785
219	0.000000	0.000000	0.915307
220	0.000000	0.000000	0.911747
221	0.000000	0.000000	0.910487
222	0.000000	0.000000	0.909454
223	0.000000	0.000000	0.910142
224	0.000000	0.000000	0.909145
225	0.000000	0.000000	0.910263
226	0.000000	0.000000	0.910911
227	0.000000	0.000000	0.911005
228	0.000000	0.000000	0.908598
229	0.000000	0.000000	0.904546
230	0.000000	0.000000	0.906065
231	0.000000	0.000000	0.911621
232	0.000000	0.000000	0.911771
233	0.000000	0.021178	0.915684
234	0.000000	0.018958	0.915062
235	0.000000	0.001359	0.910954
236	0.000000	0.001915	0.913265
237	0.000000	0.000000	0.903616
238	0.000000	0.000000	0.904821
239	0.000000	0.005783	0.911149
240	0.000000	0.008095	0.912100
241	0.000000	0.000000	0.910035
242	0.000000	0.000000	0.904019
243	0.000000	0.000000	0.902619
244	0.000000	0.000000	0.902967
245	0.000000	0.000000	0.900968
246	0.000000	0.000000	0.897822
247	0.000000	0.000000	0.887240
248	0.000000	0.000000	0.890088
249	0.000000	0.000000	0.886472
250	0.000000	0.000000	0.884262
251	0.000000	0.000000	0.884514
252	0.000000	0.000000	0.881870
253	0.000000	0.000000	0.879494
254	0.000000	0.000000	0.873204
255	0.000000	0.000000	0.866693
256	0.000000	0.000000	0.868842
257	0.000000	0.000000	0.861535
258	0.000000	0.000000	0.861576
259	0.000000	0.000000	0.865432
260	0.000000	0.000000	0.877338
261	0.000000	0.000000	0.883216
262	0.000000	0.000000	0.885876
263	0.000000	0.000000	0.890810
264	0.000000	0.000000	0.886476
265	0.000000	0.000000	0.878852
266	0.000000	0.000000	0.879181
267	0.000000	0.000000	0.870103
268	0.000000	0.000000	0.861883
269	0.000000	0.000000	0.859667
270	0.000000	0.000000	0.875486
271	0.000000	0.000000	0.876372
272	0.000000	0.000000	0.879946
273	0.000000	0.000000	0.881439
274	0.000000	0.000000	0.880683
275	0.000000	0.000000	0.881648
276	0.000000	0.000000	0.880342
277	0.000000	0.000000	0.875480
278	0.000000	0.000000	0.874567
279	0.000000	0.000000	0.871360
280	0.000000	0.000000	0.870569
281	0.000000	0.000000	0.868344
282	0.000000	0.000000	0.863944
283	0.000000	0.000000	0.861787
284	0.000000	0.000000	0.860528
285	0.000000	0.000000	0.858327
286	0.000000	0.000000	0.853722
287	0.000000	0.000000	0.846363
288	0.000000	0.000000	0.858352
289	0.000000	0.000000	0.859612
290	0.000000	0.000000	0.858445
291	0.000000	0.000000	0.861943
