Period	LjungBox_pval	SeasonalStrength	TrendStrength
5	0.000000	0.072054	0.000000
6	0.000000	0.136512	0.000000
7	0.000000	0.078818	0.000000
8	0.000000	0.134935	0.000000
9	0.000000	0.109437	0.000000
10	0.000000	0.124980	0.000000
11	0.000000	0.136777	0.000000
12	0.000000	0.100365	0.000000
13	0.000000	0.096492	0.000000
14	0.000000	0.143891	0.000000
15	0.000000	0.129179	0.000000
16	0.000000	0.119323	0.000000
17	0.000000	0.135121	0.000000
18	0.000000	0.101788	0.000000
19	0.000000	0.168545	0.000000
20	0.000000	0.122554	0.000000
21	0.000000	0.119039	0.000000
22	0.000000	0.125281	0.000000
23	0.000000	0.116916	0.000000
24	0.000000	0.107200	0.000000
25	0.000000	0.132134	0.000000
26	0.000000	0.106589	0.000000
27	0.000000	0.127319	0.000000
28	0.000000	0.127264	0.000000
29	0.000000	0.133824	0.000000
30	0.000000	0.080364	0.000000
31	0.000000	0.147032	0.000000
32	0.000000	0.147999	0.000000
33	0.000000	0.150588	0.000000
34	0.000000	0.107453	0.000000
35	0.000000	0.132473	0.000000
36	0.000000	0.128600	0.000000
37	0.000000	0.141065	0.000000
38	0.000000	0.135333	0.000000
39	0.000000	0.118854	0.000000
40	0.000000	0.129130	0.000000
41	0.000000	0.131226	0.000000
42	0.000000	0.140213	0.000000
43	0.000000	0.096408	0.000000
44	0.000000	0.114878	0.000000
45	0.000000	0.185711	0.000000
46	0.000000	0.097223	0.000000
47	0.000000	0.166511	0.000000
48	0.000000	0.123345	0.000000
49	0.000000	0.173278	0.000000
50	0.000000	0.148169	0.000000
51	0.000000	0.135173	0.000000
52	0.000000	0.143570	0.000000
53	0.000000	0.132026	0.000000
54	0.000000	0.139761	0.000000
55	0.000000	0.152267	0.000000
56	0.000000	0.131516	0.000000
57	0.000000	0.157071	0.000000
58	0.000000	0.132883	0.000000
59	0.000000	0.161998	0.000000
60	0.000000	0.148933	0.000000
61	0.000000	0.130444	0.000000
62	0.000000	0.183681	0.000000
63	0.000000	0.128675	0.000000
64	0.000000	0.144867	0.000000
65	0.000000	0.135659	0.000000
66	0.000000	0.102191	0.000000
67	0.000000	0.100875	0.000000
68	0.000000	0.121123	0.000000
69	0.000000	0.080958	0.000000
70	0.000000	0.148092	0.000000
71	0.000000	0.157169	0.000000
72	0.000000	0.120972	0.000000
73	0.000000	0.138814	0.000000
74	0.000000	0.129194	0.000000
75	0.000000	0.106269	0.000000
76	0.000000	0.115765	0.000000
77	0.000000	0.125415	0.000000
78	0.000000	0.119292	0.000000
79	0.000000	0.134283	0.000000
80	0.000000	0.135181	0.000000
81	0.000000	0.145774	0.000000
82	0.000000	0.125045	0.000000
83	0.000000	0.151250	0.000000
84	0.000000	0.137676	0.000000
85	0.000000	0.160197	0.000000
86	0.000000	0.127233	0.000000
87	0.000000	0.165350	0.000000
88	0.000000	0.096414	0.000000
89	0.000000	0.170569	0.000000
90	0.000000	0.136519	0.000000
91	0.000000	0.152201	0.000000
92	0.000000	0.140286	0.000000
93	0.000000	0.117547	0.000000
94	0.000000	0.180775	0.000000
95	0.000000	0.136770	0.000000
96	0.000000	0.144580	0.000000
97	0.000000	0.119309	0.000000
98	0.000000	0.175866	0.000000
99	0.000000	0.108329	0.000000
100	0.000000	0.149253	0.000000
101	0.000000	0.083942	0.000000
102	0.000000	0.169237	0.000000
103	0.000000	0.074472	0.000000
104	0.000000	0.151208	0.000000
105	0.000000	0.099475	0.000000
106	0.000000	0.139205	0.000000
107	0.000000	0.125164	0.000000
108	0.000000	0.169385	0.000000
109	0.000000	0.117460	0.000000
110	0.000000	0.150624	0.000000
111	0.000000	0.102565	0.000000
112	0.000000	0.097030	0.000000
113	0.000000	0.088181	0.000000
114	0.000000	0.185536	0.000000
115	0.000000	0.124647	0.000000
116	0.000000	0.163125	0.000000
117	0.000000	0.132040	0.000000
118	0.000000	0.134994	0.000000
119	0.000000	0.172551	0.000000
120	0.000000	0.125120	0.000000
121	0.000000	0.158682	0.000000
122	0.000000	0.143570	0.000000
123	0.000000	0.122101	0.000000
124	0.000000	0.158345	0.000000
125	0.000000	0.133662	0.000000
126	0.000000	0.134302	0.000000
127	0.000000	0.144560	0.000000
128	0.000000	0.101259	0.000000
129	0.000000	0.160322	0.000000
130	0.000000	0.125737	0.000000
131	0.000000	0.131528	0.000000
132	0.000000	0.108515	0.000000
133	0.000000	0.135480	0.000000
134	0.000000	0.133020	0.000000
135	0.000000	0.175533	0.000000
136	0.000000	0.125531	0.000000
137	0.000000	0.174948	0.000000
138	0.000000	0.124601	0.000000
139	0.000000	0.160626	0.000000
140	0.000000	0.132608	0.000000
141	0.000000	0.121972	0.000000
142	0.000000	0.101339	0.000000
143	0.000000	0.169164	0.000000
144	0.000000	0.105919	0.000000
145	0.000000	0.182914	0.000000
146	0.000000	0.099457	0.000000
147	0.000000	0.160635	0.000000
148	0.000000	0.185965	0.000000
149	0.000000	0.148565	0.000000
150	0.000000	0.082809	0.000000
151	0.000000	0.207560	0.000000
152	0.000000	0.098128	0.000000
153	0.000000	0.194791	0.000000
154	0.000000	0.095502	0.000000
155	0.000000	0.185532	0.000000
156	0.000000	0.152517	0.000000
157	0.000000	0.156699	0.000000
158	0.000000	0.109402	0.000000
159	0.000000	0.136874	0.000000
160	0.000000	0.111458	0.000000
161	0.000000	0.136068	0.000000
162	0.000000	0.168527	0.000000
163	0.000000	0.129869	0.000000
164	0.000000	0.162193	0.000000
165	0.000000	0.173905	0.000000
166	0.000000	0.131541	0.000000
167	0.000000	0.132273	0.000000
168	0.000000	0.138713	0.000000
169	0.000000	0.129526	0.000000
170	0.000000	0.141669	0.000000
171	0.000000	0.139269	0.000000
172	0.000000	0.107732	0.000000
173	0.000000	0.162449	0.000000
174	0.000000	0.127428	0.000000
175	0.000000	0.175772	0.000000
176	0.000000	0.128370	0.000000
177	0.000000	0.158977	0.000000
178	0.000000	0.143481	0.000000
179	0.000000	0.138175	0.000000
180	0.000000	0.160536	0.000000
181	0.000000	0.145579	0.000000
182	0.000000	0.158088	0.000000
183	0.000000	0.145843	0.000000
184	0.000000	0.138769	0.000000
185	0.000000	0.140627	0.000000
186	0.000000	0.153348	0.000000
187	0.000000	0.120243	0.000000
188	0.000000	0.167289	0.000000
189	0.000000	0.136190	0.000000
190	0.000000	0.149189	0.000000
191	0.000000	0.172610	0.000000
192	0.000000	0.143183	0.000000
193	0.000000	0.153699	0.000000
194	0.000000	0.149039	0.000000
195	0.000000	0.132830	0.000000
196	0.000000	0.160404	0.000000
197	0.000000	0.146964	0.000000
198	0.000000	0.115467	0.000000
199	0.000000	0.167645	0.000000
200	0.000000	0.134485	0.000000
201	0.000000	0.166271	0.000000
202	0.000000	0.156759	0.000000
203	0.000000	0.145600	0.000000
204	0.000000	0.153307	0.000000
205	0.000000	0.142970	0.000000
206	0.000000	0.149854	0.000000
207	0.000000	0.141249	0.000000
208	0.000000	0.160586	0.000000
209	0.000000	0.165511	0.000000
210	0.000000	0.131222	0.000000
211	0.000000	0.154807	0.000000
212	0.000000	0.142862	0.000000
213	0.000000	0.166799	0.000000
214	0.000000	0.130548	0.000000
215	0.000000	0.128831	0.000000
216	0.000000	0.181868	0.000000
217	0.000000	0.139475	0.000000
218	0.000000	0.136818	0.000000
219	0.000000	0.163670	0.000000
220	0.000000	0.142290	0.000000
221	0.000000	0.167732	0.000000
222	0.000000	0.146634	0.000000
223	0.000000	0.136263	0.000000
224	0.000000	0.129666	0.000000
225	0.000000	0.179904	0.000000
226	0.000000	0.109581	0.000000
227	0.000000	0.167012	0.000000
228	0.000000	0.173889	0.000000
229	0.000000	0.116546	0.000000
230	0.000000	0.180193	0.000000
231	0.000000	0.139962	0.000000
232	0.000000	0.145563	0.000000
233	0.000000	0.160537	0.000000
234	0.000000	0.154863	0.000000
235	0.000000	0.113991	0.000000
236	0.000000	0.183177	0.000000
237	0.000000	0.114125	0.000000
238	0.000000	0.185195	0.000000
239	0.000000	0.150240	0.000000
240	0.000000	0.092481	0.000000
241	0.000000	0.133027	0.000000
242	0.000000	0.149103	0.000000
243	0.000000	0.149361	0.000000
244	0.000000	0.170647	0.000000
245	0.000000	0.111743	0.000000
246	0.000000	0.130838	0.000000
247	0.000000	0.096453	0.000000
248	0.000000	0.112950	0.000000
249	0.000000	0.135883	0.000000
250	0.000000	0.181027	0.000000
251	0.000000	0.129264	0.000000
252	0.000000	0.136125	0.000000
253	0.000000	0.185811	0.000000
254	0.000000	0.130875	0.000000
255	0.000000	0.151980	0.000000
256	0.000000	0.137111	0.000000
257	0.000000	0.157431	0.000000
258	0.000000	0.119702	0.000000
259	0.000000	0.160117	0.000000
260	0.000000	0.101715	0.000000
261	0.000000	0.193484	0.000000
262	0.000000	0.096913	0.000000
263	0.000000	0.218317	0.000000
264	0.000000	0.135766	0.000000
265	0.000000	0.151096	0.000000
266	0.000000	0.153951	0.000000
267	0.000000	0.162304	0.000000
268	0.000000	0.102924	0.000000
269	0.000000	0.150073	0.000000
270	0.000000	0.159644	0.000000
271	0.000000	0.153706	0.000000
272	0.000000	0.103390	0.000000
273	0.000000	0.174508	0.000000
274	0.000000	0.124874	0.000000
275	0.000000	0.178940	0.000000
276	0.000000	0.120292	0.000000
277	0.000000	0.151176	0.000000
278	0.000000	0.164694	0.000000
279	0.000000	0.154499	0.000000
280	0.000000	0.155707	0.000000
281	0.000000	0.188302	0.000000
