Period	LjungBox_pval	SeasonalStrength	TrendStrength
5	0.000000	0.057737	0.045630
6	0.051027	0.073651	0.043945
7	0.000000	0.075604	0.036300
8	0.000000	0.106979	0.046313
9	0.000000	0.098360	0.042805
10	0.000000	0.110257	0.036540
11	0.000777	0.110181	0.031672
12	0.000001	0.087558	0.028509
13	0.000026	0.130796	0.022042
14	0.003680	0.115713	0.013666
15	0.000478	0.134491	0.012668
16	0.000535	0.098918	0.021082
17	0.006913	0.110334	0.020129
18	0.000000	0.094474	0.000000
19	0.142255	0.109469	0.022874
20	0.000034	0.116590	0.011088
21	0.001166	0.112422	0.013670
22	0.058085	0.095367	0.011180
23	0.023594	0.077863	0.008075
24	0.000002	0.114480	0.006771
25	0.088216	0.121879	0.007265
26	0.000000	0.082942	0.002650
27	0.000001	0.116622	0.010522
28	0.000000	0.136121	0.013142
29	0.062067	0.139351	0.004554
30	0.001211	0.118554	0.005235
31	0.030020	0.154445	0.008704
32	0.000027	0.133292	0.005446
33	0.000018	0.131360	0.010390
34	0.026882	0.097062	0.008765
35	0.000292	0.091400	0.008374
36	0.005330	0.094624	0.007378
37	0.016901	0.115690	0.003232
38	0.000034	0.133293	0.005854
39	0.008969	0.119887	0.000000
40	0.000000	0.097770	0.002349
41	0.000005	0.132902	0.006106
42	0.000003	0.138027	0.007897
43	0.004004	0.098922	0.006813
44	0.000024	0.110797	0.004344
45	0.000113	0.132003	0.006301
46	0.019614	0.133002	0.003015
47	0.001469	0.102660	0.006058
48	0.000226	0.109443	0.000000
49	0.082228	0.145425	0.006384
50	0.001742	0.137931	0.004197
51	0.000726	0.089728	0.011389
52	0.000001	0.172093	0.003803
53	0.009550	0.134571	0.002964
54	0.350286	0.136439	0.000855
55	0.034463	0.160424	0.007519
56	0.046503	0.132026	0.005206
57	0.001744	0.144663	0.002186
58	0.001640	0.120008	0.005196
59	0.029112	0.142912	0.007460
60	0.000222	0.134623	0.003331
61	0.071715	0.096520	0.007068
62	0.000093	0.151347	0.007024
63	0.010468	0.108409	0.006277
64	0.054341	0.108131	0.004609
65	0.000290	0.137827	0.008799
66	0.007196	0.114369	0.001739
67	0.000000	0.121753	0.007063
68	0.005406	0.099963	0.011828
69	0.000000	0.090425	0.009273
70	0.000018	0.119787	0.007351
71	0.000644	0.132889	0.000000
72	0.000006	0.124837	0.000235
73	0.000070	0.100169	0.003985
74	0.000001	0.128510	0.002226
75	0.000233	0.073035	0.000000
76	0.000219	0.102542	0.003551
77	0.021502	0.121330	0.002146
78	0.000585	0.131309	0.002365
79	0.000002	0.117642	0.001852
80	0.000009	0.143612	0.003491
81	0.854475	0.143591	0.000000
82	0.001235	0.111245	0.002787
83	0.000018	0.102652	0.008959
84	0.000016	0.124563	0.000000
85	0.035614	0.158529	0.004499
86	0.011589	0.117893	0.000000
87	0.003394	0.133301	0.000000
88	0.000148	0.105528	0.000000
89	0.000297	0.162204	0.000775
90	0.010405	0.128958	0.000917
91	0.201982	0.144265	0.000000
92	0.011144	0.147330	0.000757
93	0.000015	0.104987	0.001790
94	0.042515	0.145529	0.000874
95	0.005638	0.110667	0.002907
96	0.028038	0.126085	0.000341
97	0.017908	0.108087	0.001843
98	0.001974	0.125227	0.000000
99	0.000000	0.107651	0.003084
100	0.000282	0.135214	0.000000
101	0.000001	0.111973	0.001351
102	0.030483	0.138748	0.004995
103	0.000000	0.088553	0.000000
104	0.003082	0.124250	0.002754
105	0.000000	0.095431	0.001908
106	0.258522	0.120689	0.000000
107	0.000002	0.096400	0.000040
108	0.008583	0.119207	0.000000
109	0.000015	0.121159	0.000000
110	0.000051	0.125320	0.000000
111	0.000001	0.122176	0.000000
112	0.046722	0.126613	0.000064
113	0.000092	0.077583	0.000000
114	0.000063	0.175785	0.000000
115	0.000111	0.141200	0.000972
116	0.032901	0.142349	0.003794
117	0.000253	0.145635	0.003283
118	0.199394	0.147796	0.002471
119	0.000008	0.136076	0.001563
120	0.022136	0.133821	0.000000
121	0.000068	0.135633	0.002712
122	0.002954	0.126067	0.002362
123	0.000159	0.101538	0.001355
124	0.000002	0.121294	0.000000
125	0.000660	0.149793	0.002197
126	0.004470	0.134339	0.001363
127	0.015203	0.143307	0.000074
128	0.000002	0.112097	0.001197
129	0.000000	0.158945	0.000000
130	0.000002	0.119169	0.000000
131	0.000052	0.129217	0.001822
132	0.000011	0.145456	0.000000
133	0.000002	0.143583	0.000154
134	0.002180	0.143661	0.003866
135	0.000107	0.154096	0.000537
136	0.000002	0.117514	0.000000
137	0.087008	0.123051	0.000000
138	0.000060	0.126070	0.000224
139	0.275667	0.119975	0.001960
140	0.020064	0.121482	0.001394
141	0.000193	0.118720	0.000350
142	0.000411	0.131115	0.000017
143	0.903513	0.142329	0.000000
144	0.000000	0.142699	0.000000
145	0.060903	0.150154	0.000064
146	0.000000	0.129975	0.001558
147	0.000412	0.176430	0.000000
148	0.000003	0.157260	0.000000
149	0.001996	0.065086	0.000000
150	0.000001	0.142591	0.001743
151	0.623925	0.165352	0.003468
152	0.000000	0.116952	0.000000
153	0.000275	0.130851	0.001756
154	0.004250	0.097975	0.001717
155	0.002347	0.153278	0.000372
156	0.006318	0.125358	0.001333
157	0.005782	0.150045	0.001559
158	0.000175	0.130520	0.000000
159	0.447804	0.123160	0.002467
160	0.000016	0.116826	0.000000
161	0.018513	0.115751	0.000000
162	0.002088	0.163545	0.003457
163	0.001362	0.152517	0.000868
164	0.003807	0.137270	0.000065
165	0.001595	0.174117	0.000000
166	0.001996	0.148122	0.002778
167	0.013190	0.114695	0.000000
168	0.025619	0.126712	0.000196
169	0.057625	0.134892	0.001246
170	0.025021	0.108559	0.000000
171	0.001369	0.131561	0.000000
172	0.017648	0.118607	0.002252
173	0.160756	0.140796	0.000000
174	0.000000	0.169947	0.001707
175	0.000029	0.166107	0.002115
176	0.000028	0.130494	0.000000
177	0.012362	0.169648	0.001349
178	0.000830	0.168181	0.000837
179	0.000003	0.143628	0.001602
180	0.000007	0.167314	0.001075
181	0.002977	0.172942	0.000000
182	0.009309	0.138026	0.000872
183	0.004227	0.133584	0.001805
184	0.004858	0.136740	0.000000
185	0.009262	0.127041	0.000000
186	0.000755	0.154791	0.000000
187	0.001017	0.119063	0.000000
188	0.219400	0.145409	0.000186
189	0.059598	0.114660	0.002393
190	0.055733	0.118999	0.000000
191	0.000134	0.147866	0.000113
192	0.005268	0.151568	0.001101
193	0.005532	0.149947	0.000000
194	0.003483	0.151943	0.000000
195	0.001081	0.129194	0.001283
196	0.000140	0.137852	0.002127
197	0.019194	0.146482	0.003010
198	0.000473	0.113802	0.002883
199	0.030801	0.158595	0.003137
200	0.004731	0.132797	0.002817
201	0.004534	0.143733	0.000000
202	0.120943	0.142243	0.000869
203	0.007290	0.148502	0.001318
204	0.000843	0.134722	0.001896
205	0.121253	0.144195	0.002929
206	0.004677	0.153288	0.000071
207	0.072996	0.138295	0.002221
208	0.016955	0.177247	0.001421
209	0.042198	0.160128	0.000000
210	0.127102	0.135772	0.001553
211	0.000007	0.137858	0.000939
212	0.012221	0.139157	0.002154
213	0.015416	0.148803	0.001354
214	0.241268	0.105992	0.002277
215	0.031569	0.113860	0.000361
216	0.019367	0.150819	0.001639
217	0.001624	0.128301	0.001463
218	0.000009	0.126818	0.001465
219	0.763396	0.139659	0.000723
220	0.023814	0.155629	0.001847
221	0.052081	0.136538	0.000000
222	0.044992	0.138905	0.000000
223	0.000053	0.128191	0.000000
224	0.194389	0.112069	0.001876
225	0.004278	0.140127	0.000000
226	0.000491	0.106357	0.000000
227	0.015550	0.153630	0.000000
228	0.062655	0.154287	0.000554
229	0.000076	0.135405	0.001201
230	0.090781	0.185986	0.001338
231	0.042866	0.150963	0.001862
232	0.040531	0.138437	0.002004
233	0.000003	0.138959	0.002732
234	0.044826	0.139215	0.000089
235	0.000701	0.138564	0.002269
236	0.101282	0.156635	0.000541
237	0.000047	0.088014	0.000325
238	0.000599	0.155582	0.003232
239	0.073219	0.120589	0.002029
240	0.024125	0.124176	0.001755
241	0.005349	0.136910	0.000478
242	0.059422	0.150092	0.001614
243	0.004651	0.126768	0.001895
244	0.000135	0.133689	0.003380
245	0.000065	0.101209	0.001953
246	0.001388	0.132177	0.000000
247	0.461579	0.111974	0.003078
248	0.009365	0.106723	0.002239
249	0.086971	0.140453	0.003300
250	0.002710	0.182905	0.001221
251	0.000541	0.126402	0.001227
252	0.020148	0.126578	0.003308
253	0.023433	0.136708	0.002266
254	0.000756	0.105643	0.001648
255	0.795226	0.129495	0.001606
256	0.001568	0.152466	0.003263
257	0.000672	0.163360	0.002455
258	0.003278	0.139771	0.001238
259	0.649401	0.153223	0.002237
260	0.207266	0.107678	0.000853
261	0.219850	0.137515	0.000744
262	0.003805	0.113957	0.001471
263	0.002908	0.187931	0.000000
264	0.011791	0.129462	0.001226
265	0.027221	0.153706	0.001217
266	0.254950	0.163944	0.001092
267	0.076776	0.141316	0.001717
268	0.000148	0.106120	0.002269
269	0.638767	0.129959	0.002147
270	0.008639	0.124262	0.001490
271	0.000187	0.114022	0.002150
272	0.000333	0.072903	0.002192
273	0.023720	0.135101	0.000891
274	0.000551	0.130512	0.000560
275	0.003538	0.140043	0.003365
276	0.000217	0.106511	0.002139
277	0.025573	0.133111	0.001849
278	0.071300	0.164365	0.002208
279	0.000979	0.142853	0.001731
280	0.005641	0.149229	0.001745
281	0.049127	0.157194	0.001715
282	0.024142	0.121867	0.002984
283	0.214937	0.170556	0.002488
284	0.008209	0.131142	0.000000
285	0.003186	0.154115	0.001988
286	0.126174	0.165343	0.003012
287	0.037857	0.134165	0.000668
288	0.027176	0.125198	0.000180
289	0.094520	0.169442	0.003299
290	0.170175	0.126935	0.002083
291	0.031610	0.148009	0.002796
292	0.014900	0.128757	0.001778
293	0.140350	0.128460	0.002363
294	0.001471	0.144437	0.000000
295	0.013380	0.141701	0.002147
296	0.006874	0.161291	0.000510
297	0.207069	0.136985	0.000000
298	0.196443	0.107224	0.000650
299	0.144641	0.151855	0.002235
300	0.013454	0.086485	0.000120
301	0.000172	0.142122	0.001929
302	0.043562	0.168478	0.002842
303	0.000001	0.117945	0.000072
304	0.638899	0.142293	0.001240
305	0.189412	0.099532	0.001784
306	0.002220	0.151703	0.001148
307	0.004738	0.138453	0.000558
308	0.017618	0.145074	0.003131
309	0.003538	0.119899	0.000508
310	0.067006	0.152334	0.002878
311	0.000468	0.152870	0.000000
312	0.117621	0.141812	0.001148
313	0.234246	0.133924	0.002366
314	0.022464	0.145856	0.002207
315	0.031854	0.138764	0.000369
316	0.000010	0.151970	0.001104
317	0.439998	0.155215	0.001748
318	0.090471	0.130921	0.000645
319	0.185796	0.134808	0.002438
320	0.008464	0.152686	0.000000
321	0.060394	0.154862	0.000651
322	0.050340	0.111102	0.001883
323	0.368415	0.148373	0.001310
324	0.021789	0.141051	0.002618
325	0.000001	0.135128	0.001752
326	0.285965	0.102317	0.000681
327	0.000143	0.152706	0.002349
328	0.052653	0.102308	0.000494
329	0.033265	0.100972	0.000000
330	0.034565	0.163526	0.001002
331	0.201334	0.118112	0.002113
332	0.074464	0.136219	0.000937
333	0.121957	0.157820	0.002283
334	0.052735	0.139795	0.000918
335	0.001748	0.140128	0.000165
336	0.021827	0.161935	0.002177
337	0.026620	0.147338	0.002863
338	0.001169	0.159323	0.000000
339	0.027012	0.162609	0.001799
340	0.097628	0.132445	0.002954
341	0.665508	0.138264	0.000369
342	0.367203	0.178788	0.001237
343	0.000062	0.148617	0.001211
344	0.012743	0.118313	0.000369
345	0.259930	0.162881	0.000496
346	0.070175	0.154420	0.000000
347	0.836301	0.153783	0.001107
348	0.012493	0.172778	0.000487
349	0.096007	0.157149	0.003000
350	0.180548	0.162213	0.000797
351	0.005246	0.142191	0.002732
352	0.000014	0.137547	0.000794
353	0.040678	0.123434	0.002489
354	0.551116	0.151683	0.002398
355	0.000733	0.138285	0.001024
356	0.028876	0.157575	0.002487
357	0.008223	0.178578	0.001920
358	0.121449	0.138331	0.002248
359	0.172605	0.127949	0.001412
360	0.001157	0.166601	0.002553
